datetime,blockchain,native,canonical,external,tvs,eth_price
2023-05-01,arbitrum,2543690433.25,4550277380.426771,442288980.0274983,7536256793.704269,1885.392
2023-05-01,optimism,742380848.0,1009841148.9011142,24723864.953430176,1776945861.8545444,1885.392
2023-05-01,starknet,0.0,39582937.09375,0.0,39582937.09375,1885.392
2023-05-01,zksync,0.0,1.2400000095367432,1525987.7578125,1525988.9978125095,1885.392
2023-04-30,arbitrum,2531710673.0,4603162791.380398,435473647.74499273,7570347112.125391,1905.2738
2023-04-30,optimism,745433512.0,1014062634.0256038,25029395.301574707,1784525541.3271785,1905.2738
2023-04-30,starknet,0.0,40222312.03125,0.0,40222312.03125,1905.2738
2023-04-30,zksync,0.0,1.2400000095367432,1535858.0234375,1535859.2634375095,1905.2738
2023-04-29,arbitrum,2560057607.0,4590925991.719691,438105286.5174961,7589088885.237187,1894.4281
2023-04-29,optimism,734972424.0,1011364916.374786,24988191.380767822,1771325531.755554,1894.4281
2023-04-29,starknet,0.0,38699205.015625,0.0,38699205.015625,1894.4281
2023-04-29,zksync,0.0,1.2400000095367432,1529482.89453125,1529484.1345312595,1894.4281
2023-04-28,arbitrum,2618963272.0,4626359785.985847,463314784.69625,7708637842.682096,1910.0032
2023-04-28,optimism,749282260.0,1029586639.7377918,25377034.70843506,1804245934.4462268,1910.0032
2023-04-28,starknet,0.0,38548408.203125,0.0,38548408.203125,1910.0032
2023-04-28,zksync,0.0,1.2400000095367432,1541129.6171875,1541130.8571875095,1910.0032
2023-04-27,arbitrum,2562224903.75,4532610548.589062,459057914.6950054,7553893367.034067,1867.5894
2023-04-27,optimism,739464756.0,1019539681.6150162,24749147.47906494,1783753585.0940812,1867.5894
2023-04-27,starknet,0.0,38060749.046875,0.0,38060749.046875,1867.5894
2023-04-27,zksync,0.0,1.2300000190734863,1531800.1015625,1531801.331562519,1867.5894
2023-04-26,arbitrum,2566144521.25,4542092158.596874,451255105.1449976,7559491784.991872,1870.5652
2023-04-26,optimism,774057388.0,1027249108.687767,24611218.6986084,1825917715.3863757,1870.5652
2023-04-26,starknet,0.0,36911224.3125,0.0,36911224.3125,1870.5652
2023-04-26,zksync,0.0,1.2400000095367432,1537132.82421875,1537134.0642187595,1870.5652
2023-04-25,arbitrum,2497231127.75,4473426229.309914,432717128.3737483,7403374485.433662,1842.6307
2023-04-25,optimism,766200508.0,1021483888.6684494,24090228.837799072,1811774625.5062485,1842.6307
2023-04-25,starknet,0.0,36156637.484375,0.0,36156637.484375,1842.6307
2023-04-25,zksync,0.0,1.2400000095367432,0.0,1.2400000095367432,1842.6307
2023-04-24,arbitrum,2503649155.25,4519044642.302717,435576042.56875134,7458269840.121469,1863.6392
2023-04-24,optimism,758486364.0,1028644164.7561636,24298576.345947266,1811429105.1021109,1863.6392
2023-04-24,starknet,0.0,35851992.71875,0.0,35851992.71875,1863.6392
2023-04-24,zksync,0.0,1.2400000095367432,0.0,1.2400000095367432,1863.6392
2023-04-23,arbitrum,2687460991.0,4567900247.091486,460627846.01749945,7715989084.108986,1875.0436
2023-04-23,optimism,794132664.0,1035631489.7250272,24474066.567962646,1854238220.2929895,1875.0436
2023-04-23,starknet,0.0,35445627.515625,0.0,35445627.515625,1875.0436
2023-04-23,zksync,0.0,1.2400000095367432,0.0,1.2400000095367432,1875.0436
2023-04-22,arbitrum,2672971686.25,4518833601.946049,442550417.661253,7634355705.857302,1850.1168
2023-04-22,optimism,778286816.0,1025404154.3855244,24162508.22937012,1827853478.6148944,1850.1168
2023-04-22,starknet,0.0,34995026.875,0.0,34995026.875,1850.1168
2023-04-22,zksync,0.0,1.2400000095367432,0.0,1.2400000095367432,1850.1168
2023-04-21,arbitrum,2695827376.0,4672108747.204596,470629695.11000633,7838565818.314602,1942.5889
